id,edge-1,edge-2,edge-3,edge-4,rotation,Shape
aabcS,a,a,b,c,S,aabc
aacbS,a,a,c,b,S,aacb
baacS,b,a,a,c,S,baac
caabS,c,a,a,b,S,caab
bcaaS,b,c,a,a,S,bcaa
cbaaS,c,b,a,a,S,cbaa
abcaS,a,b,c,a,S,abca
acbaS,a,c,b,a,S,acba
bbcaS,b,b,c,a,S,bbca
bbacS,b,b,a,c,S,bbac
cbbaS,c,b,b,a,S,cbba
abbcS,a,b,b,c,S,abbc
cabbS,c,a,b,b,S,cabb
acbbS,a,c,b,b,S,acbb
bcabS,b,c,a,b,S,bcab
bacbS,b,a,c,b,S,bacb
ccabS,c,c,a,b,S,ccab
ccbaS,c,c,b,a,S,ccba
accbS,a,c,c,b,S,accb
bccaS,b,c,c,a,S,bcca
abccS,a,b,c,c,S,abcc
baccS,b,a,c,c,S,bacc
cabcS,c,a,b,c,S,cabc
cbacS,c,b,a,c,S,cbac
aabcW,a,a,b,c,W,aabc
aacbW,a,a,c,b,W,aacb
baacW,b,a,a,c,W,baac
caabW,c,a,a,b,W,caab
bcaaW,b,c,a,a,W,bcaa
cbaaW,c,b,a,a,W,cbaa
abcaW,a,b,c,a,W,abca
acbaW,a,c,b,a,W,acba
bbcaW,b,b,c,a,W,bbca
bbacW,b,b,a,c,W,bbac
cbbaW,c,b,b,a,W,cbba
abbcW,a,b,b,c,W,abbc
cabbW,c,a,b,b,W,cabb
acbbW,a,c,b,b,W,acbb
bcabW,b,c,a,b,W,bcab
bacbW,b,a,c,b,W,bacb
ccabW,c,c,a,b,W,ccab
ccbaW,c,c,b,a,W,ccba
accbW,a,c,c,b,W,accb
bccaW,b,c,c,a,W,bcca
abccW,a,b,c,c,W,abcc
baccW,b,a,c,c,W,bacc
cabcW,c,a,b,c,W,cabc
cbacW,c,b,a,c,W,cbac
aabcN,a,a,b,c,N,aabc
aacbN,a,a,c,b,N,aacb
baacN,b,a,a,c,N,baac
caabN,c,a,a,b,N,caab
bcaaN,b,c,a,a,N,bcaa
cbaaN,c,b,a,a,N,cbaa
abcaN,a,b,c,a,N,abca
acbaN,a,c,b,a,N,acba
bbcaN,b,b,c,a,N,bbca
bbacN,b,b,a,c,N,bbac
cbbaN,c,b,b,a,N,cbba
abbcN,a,b,b,c,N,abbc
cabbN,c,a,b,b,N,cabb
acbbN,a,c,b,b,N,acbb
bcabN,b,c,a,b,N,bcab
bacbN,b,a,c,b,N,bacb
ccabN,c,c,a,b,N,ccab
ccbaN,c,c,b,a,N,ccba
accbN,a,c,c,b,N,accb
bccaN,b,c,c,a,N,bcca
abccN,a,b,c,c,N,abcc
baccN,b,a,c,c,N,bacc
cabcN,c,a,b,c,N,cabc
cbacN,c,b,a,c,N,cbac
aabcE,a,a,b,c,E,aabc
aacbE,a,a,c,b,E,aacb
baacE,b,a,a,c,E,baac
caabE,c,a,a,b,E,caab
bcaaE,b,c,a,a,E,bcaa
cbaaE,c,b,a,a,E,cbaa
abcaE,a,b,c,a,E,abca
acbaE,a,c,b,a,E,acba
bbcaE,b,b,c,a,E,bbca
bbacE,b,b,a,c,E,bbac
cbbaE,c,b,b,a,E,cbba
abbcE,a,b,b,c,E,abbc
cabbE,c,a,b,b,E,cabb
acbbE,a,c,b,b,E,acbb
bcabE,b,c,a,b,E,bcab
bacbE,b,a,c,b,E,bacb
ccabE,c,c,a,b,E,ccab
ccbaE,c,c,b,a,E,ccba
accbE,a,c,c,b,E,accb
bccaE,b,c,c,a,E,bcca
abccE,a,b,c,c,E,abcc
baccE,b,a,c,c,E,bacc
cabcE,c,a,b,c,E,cabc
cbacE,c,b,a,c,E,cbac
