row,col,tileId,northEdge,eastEdge,southEdge,westEdge,rotation,isHighlighted,highlightType,shapeFamily,northMatch,eastMatch,southMatch,westMatch,neighborScore,mirrorH_position,mirrorV_position
1,1,ccdb,c,c,d,b,0,false,,3,0,1,1,0,2,,east
1,2,cbdc,c,b,d,c,0,false,,2,0,0,1,1,2,east,west
1,3,dbcc,d,b,c,c,0,false,,1,0,1,0,0,1,west,east
1,4,dccb,d,c,c,b,0,false,,0,0,1,0,1,2,,west
1,5,ddac,d,d,a,c,0,false,,3,0,1,1,1,3,,east
1,6,dcad,d,c,a,d,0,false,,2,0,0,1,1,2,east,west
1,7,acdd,a,c,d,d,0,false,,1,0,1,0,0,1,west,east
1,8,addc,a,d,d,c,0,false,,0,0,1,0,1,2,,west
1,9,cadd,c,a,d,d,0,false,,1,0,1,1,1,3,,east
1,10,cdda,c,d,d,a,0,false,,0,0,0,1,1,2,east,west
1,11,ddca,d,d,c,a,0,false,,3,0,1,0,0,1,west,east
1,12,dacd,d,a,c,d,0,false,,2,0,0,0,1,1,,west
2,1,ddab,d,d,a,b,0,false,,3,1,1,1,0,3,,east
2,2,dbad,d,b,a,d,0,false,,2,1,0,1,1,3,east,west
2,3,abdd,a,b,d,d,0,false,,1,0,1,0,0,1,west,east
2,4,addb,a,d,d,b,0,false,,0,0,1,0,1,2,,west
2,5,accd,a,c,c,d,0,false,,0,1,1,1,1,4,,east
2,6,adcc,a,d,c,c,0,false,,1,1,0,1,1,3,east,west
2,7,cdac,c,d,a,c,0,false,,2,0,1,1,0,2,west,east
2,8,ccad,c,c,a,d,0,false,,3,0,1,1,1,3,,west
2,9,ddbc,d,d,b,c,0,false,,3,1,1,1,1,4,,east
2,10,dcbd,d,c,b,d,0,false,,2,1,0,1,1,3,east,west
2,11,bcdd,b,c,d,d,0,false,,1,0,1,0,0,1,west,east
2,12,bddc,b,d,d,c,0,false,,0,0,0,0,1,1,,west
3,1,acba,a,c,b,a,0,false,,2,1,1,1,0,3,,east
3,2,aabc,a,a,b,c,0,false,,3,1,0,1,1,3,east,west
3,3,baac,b,a,a,c,0,false,,0,0,1,0,0,1,west,east
3,4,bcaa,b,c,a,a,0,false,,1,0,1,0,1,2,,west
3,5,cbac,c,b,a,c,0,false,,2,1,1,1,1,4,,east
3,6,ccab,c,c,a,b,0,false,,3,1,0,1,1,3,east,west
3,7,accb,a,c,c,b,0,false,,0,1,1,0,0,2,west,east
3,8,abcc,a,b,c,c,0,false,,1,1,1,0,1,3,,west
3,9,bcab,b,c,a,b,0,false,,2,1,1,1,1,4,,east
3,10,bbac,b,b,a,c,0,false,,3,1,0,1,1,3,east,west
3,11,abbc,a,b,b,c,0,false,,0,0,1,0,0,1,west,east
3,12,acbb,a,c,b,b,0,false,,1,0,0,0,1,1,,west
4,1,badd,b,a,d,d,0,false,,1,1,1,1,0,3,,east
4,2,bdda,b,d,d,a,0,false,,0,1,0,1,1,3,east,west
4,3,ddba,d,d,b,a,0,false,,3,0,1,1,0,2,west,east
4,4,dabd,d,a,b,d,0,false,,2,0,1,1,1,3,,west
4,5,abda,a,b,d,a,0,false,,2,1,1,1,1,4,,east
4,6,aadb,a,a,d,b,0,false,,3,1,0,1,1,3,east,west
4,7,daab,d,a,a,b,0,false,,0,0,1,0,0,1,west,east
4,8,dbaa,d,b,a,a,0,false,,1,0,1,0,1,2,,west
4,9,aacb,a,a,c,b,0,false,,3,1,1,1,1,4,,east
4,10,abca,a,b,c,a,0,false,,2,1,0,1,1,3,east,west
4,11,cbaa,c,b,a,a,0,false,,1,0,1,0,0,1,west,east
4,12,caab,c,a,a,b,0,false,,0,0,0,0,1,1,,west
5,1,dcbb,d,c,b,b,0,false,,1,1,1,1,0,3,,east
5,2,dbbc,d,b,b,c,0,false,,0,1,0,1,1,3,east,west
5,3,bbdc,b,b,d,c,0,false,,3,1,1,0,0,2,west,east
5,4,bcdb,b,c,d,b,0,false,,2,1,1,0,1,3,,west
5,5,dacc,d,a,c,c,0,false,,1,1,1,1,1,4,,east
5,6,dcca,d,c,c,a,0,false,,0,1,0,1,1,3,east,west
5,7,ccda,c,c,d,a,0,false,,3,0,1,1,0,2,west,east
5,8,cadc,c,a,d,c,0,false,,2,0,1,1,1,3,,west
5,9,ccba,c,c,b,a,0,false,,3,1,1,1,1,4,,east
5,10,cabc,c,a,b,c,0,false,,2,1,0,1,1,3,east,west
5,11,bacc,b,a,c,c,0,false,,1,0,1,1,0,2,west,east
5,12,bcca,b,c,c,a,0,false,,0,0,0,1,1,2,,west
6,1,bbca,b,b,c,a,0,false,,3,1,1,1,0,3,,east
6,2,bacb,b,a,c,b,0,false,,2,1,0,1,1,3,east,west
6,3,cabb,c,a,b,b,0,false,,1,0,1,1,0,2,west,east
6,4,cbba,c,b,b,a,0,false,,0,0,1,1,1,3,,west
6,5,cddb,c,d,d,b,0,false,,0,1,1,1,1,4,,east
6,6,cbdd,c,b,d,d,0,false,,1,1,0,1,1,3,east,west
6,7,dbcd,d,b,c,d,0,false,,2,1,1,0,0,2,west,east
6,8,ddcb,d,d,c,b,0,false,,3,1,1,0,1,3,,west
6,9,bbcd,b,b,c,d,0,false,,3,1,1,1,1,4,,east
6,10,bdcb,b,d,c,b,0,false,,2,1,0,1,1,3,east,west
6,11,cdbb,c,d,b,b,0,false,,1,1,1,0,0,2,west,east
6,12,cbbd,c,b,b,d,0,false,,0,1,0,0,1,2,,west
7,1,cdbc,c,d,b,c,0,false,,2,1,1,1,0,3,,east
7,2,ccbd,c,c,b,d,0,false,,3,1,0,1,1,3,east,west
7,3,bccd,b,c,c,d,0,false,,0,1,1,0,0,2,west,east
7,4,bdcc,b,d,c,c,0,false,,1,1,0,0,1,2,,west
7,5,daac,d,a,a,c,0,false,,0,1,1,1,0,3,,east
7,6,dcaa,d,c,a,a,0,false,,1,1,0,1,1,3,east,west
7,7,acda,a,c,d,a,0,false,,2,0,1,0,0,1,west,east
7,8,aadc,a,a,d,c,0,false,,3,0,1,0,1,2,,west
7,9,cdaa,c,d,a,a,0,false,,1,1,1,0,1,3,,east
7,10,caad,c,a,a,d,0,false,,0,1,0,0,1,2,east,west
7,11,aacd,a,a,c,d,0,false,,3,0,1,0,0,1,west,east
7,12,adca,a,d,c,a,0,false,,2,0,0,0,1,1,,west
8,1,bdaa,b,d,a,a,0,false,,1,1,1,0,0,2,,east
8,2,baad,b,a,a,d,0,false,,0,1,0,0,1,2,east,west
8,3,aabd,a,a,b,d,0,false,,3,0,1,0,0,1,west,east
8,4,adba,a,d,b,a,0,false,,2,0,1,0,1,2,,west
8,5,abbd,a,b,b,d,0,false,,0,1,1,0,1,3,,east
8,6,adbb,a,d,b,b,0,false,,1,1,0,0,1,2,east,west
8,7,bdab,b,d,a,b,0,false,,2,0,1,0,0,1,west,east
8,8,bbad,b,b,a,d,0,false,,3,0,1,0,1,2,,west
8,9,dabb,d,a,b,b,0,false,,1,0,1,0,1,2,,east
8,10,dbba,d,b,b,a,0,false,,0,0,0,0,1,1,east,west
8,11,bbda,b,b,d,a,0,false,,3,0,1,0,0,1,west,east
8,12,badb,b,a,d,b,0,false,,2,0,0,0,1,1,,west
