row,col,tileId,pattern2x2,patternRowMajor,patternColumnMajor,patternQuadrants
1,1,0,Block1,Row1,Col1,NW
1,2,1,Block1,Row1,Col2,NW
1,3,2,Block2,Row1,Col3,NW
1,4,3,Block2,Row1,Col4,NW
1,5,4,Block3,Row1,Col5,NW
1,6,5,Block3,Row1,Col6,NW
1,7,6,Block4,Row1,Col7,NE
1,8,7,Block4,Row1,Col8,NE
1,9,8,Block5,Row1,Col9,NE
1,10,9,Block5,Row1,Col10,NE
1,11,10,Block6,Row1,Col11,NE
1,12,11,Block6,Row1,Col12,NE
2,1,12,Block1,Row2,Col1,NW
2,2,13,Block1,Row2,Col2,NW
2,3,14,Block2,Row2,Col3,NW
2,4,15,Block2,Row2,Col4,NW
2,5,16,Block3,Row2,Col5,NW
2,6,17,Block3,Row2,Col6,NW
2,7,18,Block4,Row2,Col7,NE
2,8,19,Block4,Row2,Col8,NE
2,9,20,Block5,Row2,Col9,NE
2,10,21,Block5,Row2,Col10,NE
2,11,22,Block6,Row2,Col11,NE
2,12,23,Block6,Row2,Col12,NE
3,1,24,Block7,Row3,Col1,NW
3,2,25,Block7,Row3,Col2,NW
3,3,26,Block8,Row3,Col3,NW
3,4,27,Block8,Row3,Col4,NW
3,5,28,Block9,Row3,Col5,NW
3,6,29,Block9,Row3,Col6,NW
3,7,30,Block10,Row3,Col7,NE
3,8,31,Block10,Row3,Col8,NE
3,9,32,Block11,Row3,Col9,NE
3,10,33,Block11,Row3,Col10,NE
3,11,34,Block12,Row3,Col11,NE
3,12,35,Block12,Row3,Col12,NE
4,1,36,Block7,Row4,Col1,NW
4,2,37,Block7,Row4,Col2,NW
4,3,38,Block8,Row4,Col3,NW
4,4,39,Block8,Row4,Col4,NW
4,5,40,Block9,Row4,Col5,NW
4,6,41,Block9,Row4,Col6,NW
4,7,42,Block10,Row4,Col7,NE
4,8,43,Block10,Row4,Col8,NE
4,9,44,Block11,Row4,Col9,NE
4,10,45,Block11,Row4,Col10,NE
4,11,46,Block12,Row4,Col11,NE
4,12,47,Block12,Row4,Col12,NE
5,1,48,Block13,Row5,Col1,SW
5,2,49,Block13,Row5,Col2,SW
5,3,50,Block14,Row5,Col3,SW
5,4,51,Block14,Row5,Col4,SW
5,5,52,Block15,Row5,Col5,SW
5,6,53,Block15,Row5,Col6,SW
5,7,54,Block16,Row5,Col7,SE
5,8,55,Block16,Row5,Col8,SE
5,9,56,Block17,Row5,Col9,SE
5,10,57,Block17,Row5,Col10,SE
5,11,58,Block18,Row5,Col11,SE
5,12,59,Block18,Row5,Col12,SE
6,1,60,Block13,Row6,Col1,SW
6,2,61,Block13,Row6,Col2,SW
6,3,62,Block14,Row6,Col3,SW
6,4,63,Block14,Row6,Col4,SW
6,5,64,Block15,Row6,Col5,SW
6,6,65,Block15,Row6,Col6,SW
6,7,66,Block16,Row6,Col7,SE
6,8,67,Block16,Row6,Col8,SE
6,9,68,Block17,Row6,Col9,SE
6,10,69,Block17,Row6,Col10,SE
6,11,70,Block18,Row6,Col11,SE
6,12,71,Block18,Row6,Col12,SE
7,1,72,Block19,Row7,Col1,SW
7,2,73,Block19,Row7,Col2,SW
7,3,74,Block20,Row7,Col3,SW
7,4,75,Block20,Row7,Col4,SW
7,5,76,Block21,Row7,Col5,SW
7,6,77,Block21,Row7,Col6,SW
7,7,78,Block22,Row7,Col7,SE
7,8,79,Block22,Row7,Col8,SE
7,9,80,Block23,Row7,Col9,SE
7,10,81,Block23,Row7,Col10,SE
7,11,82,Block24,Row7,Col11,SE
7,12,83,Block24,Row7,Col12,SE
8,1,84,Block19,Row8,Col1,SW
8,2,85,Block19,Row8,Col2,SW
8,3,86,Block20,Row8,Col3,SW
8,4,87,Block20,Row8,Col4,SW
8,5,88,Block21,Row8,Col5,SW
8,6,89,Block21,Row8,Col6,SW
8,7,90,Block22,Row8,Col7,SE
8,8,91,Block22,Row8,Col8,SE
8,9,92,Block23,Row8,Col9,SE
8,10,93,Block23,Row8,Col10,SE
8,11,94,Block24,Row8,Col11,SE
8,12,95,Block24,Row8,Col12,SE
