id,edge-S,edge-W,edge-N,edge-E,rotation,Shape,Mirror-H,Mirror-V
aabcS,a,a,b,c,S,aabc,acbaS,baacS
aacbS,a,a,c,b,S,aacb,abcaS,caabS
aabdS,a,a,b,d,S,aabd,adbaS,baadS
aadbS,a,a,d,b,S,aadb,abdaS,daabS
aadcS,a,a,d,c,S,aadc,acdaS,daacS
aacdS,a,a,c,d,S,aacd,adcaS,caadS
caabS,c,a,a,b,S,caab,cbaaS,aacbS
baacS,b,a,a,c,S,baac,bcaaS,aabcS
daabS,d,a,a,b,S,daab,dbaaS,aadbS
baadS,b,a,a,d,S,baad,bdaaS,aabdS
caadS,c,a,a,d,S,caad,cdaaS,aacdS
daacS,d,a,a,c,S,daac,dcaaS,aadcS
bcaaS,b,c,a,a,S,bcaa,baacS,acbaS
cbaaS,c,b,a,a,S,cbaa,caabS,abcaS
bdaaS,b,d,a,a,S,bdaa,baadS,adbaS
dbaaS,d,b,a,a,S,dbaa,daabS,abdaS
dcaaS,d,c,a,a,S,dcaa,daacS,acdaS
cdaaS,c,d,a,a,S,cdaa,caadS,adcaS
abcaS,a,b,c,a,S,abca,aacbS,cbaaS
acbaS,a,c,b,a,S,acba,aabcS,bcaaS
abdaS,a,b,d,a,S,abda,aadbS,dbaaS
adbaS,a,d,b,a,S,adba,aabdS,bdaaS
adcaS,a,d,c,a,S,adca,aacdS,cdaaS
acdaS,a,c,d,a,S,acda,aadcS,dcaaS
aabcW,a,a,b,c,W,aabc,acbaW,baacW
aacbW,a,a,c,b,W,aacb,abcaW,caabW
aabdW,a,a,b,d,W,aabd,adbaW,baadW
aadbW,a,a,d,b,W,aadb,abdaW,daabW
aadcW,a,a,d,c,W,aadc,acdaW,daacW
aacdW,a,a,c,d,W,aacd,adcaW,caadW
caabW,c,a,a,b,W,caab,cbaaW,aacbW
baacW,b,a,a,c,W,baac,bcaaW,aabcW
daabW,d,a,a,b,W,daab,dbaaW,aadbW
baadW,b,a,a,d,W,baad,bdaaW,aabdW
caadW,c,a,a,d,W,caad,cdaaW,aacdW
daacW,d,a,a,c,W,daac,dcaaW,aadcW
bcaaW,b,c,a,a,W,bcaa,baacW,acbaW
cbaaW,c,b,a,a,W,cbaa,caabW,abcaW
bdaaW,b,d,a,a,W,bdaa,baadW,adbaW
dbaaW,d,b,a,a,W,dbaa,daabW,abdaW
dcaaW,d,c,a,a,W,dcaa,daacW,acdaW
cdaaW,c,d,a,a,W,cdaa,caadW,adcaW
abcaW,a,b,c,a,W,abca,aacbW,cbaaW
acbaW,a,c,b,a,W,acba,aabcW,bcaaW
abdaW,a,b,d,a,W,abda,aadbW,dbaaW
adbaW,a,d,b,a,W,adba,aabdW,bdaaW
adcaW,a,d,c,a,W,adca,aacdW,cdaaW
acdaW,a,c,d,a,W,acda,aadcW,dcaaW
aabcN,a,a,b,c,N,aabc,acbaN,baacN
aacbN,a,a,c,b,N,aacb,abcaN,caabN
aabdN,a,a,b,d,N,aabd,adbaN,baadN
aadbN,a,a,d,b,N,aadb,abdaN,daabN
aadcN,a,a,d,c,N,aadc,acdaN,daacN
aacdN,a,a,c,d,N,aacd,adcaN,caadN
caabN,c,a,a,b,N,caab,cbaaN,aacbN
baacN,b,a,a,c,N,baac,bcaaN,aabcN
daabN,d,a,a,b,N,daab,dbaaN,aadbN
baadN,b,a,a,d,N,baad,bdaaN,aabdN
caadN,c,a,a,d,N,caad,cdaaN,aacdN
daacN,d,a,a,c,N,daac,dcaaN,aadcN
bcaaN,b,c,a,a,N,bcaa,baacN,acbaN
cbaaN,c,b,a,a,N,cbaa,caabN,abcaN
bdaaN,b,d,a,a,N,bdaa,baadN,adbaN
dbaaN,d,b,a,a,N,dbaa,daabN,abdaN
dcaaN,d,c,a,a,N,dcaa,daacN,acdaN
cdaaN,c,d,a,a,N,cdaa,caadN,adcaN
abcaN,a,b,c,a,N,abca,aacbN,cbaaN
acbaN,a,c,b,a,N,acba,aabcN,bcaaN
abdaN,a,b,d,a,N,abda,aadbN,dbaaN
adbaN,a,d,b,a,N,adba,aabdN,bdaaN
adcaN,a,d,c,a,N,adca,aacdN,cdaaN
acdaN,a,c,d,a,N,acda,aadcN,dcaaN
aabcE,a,a,b,c,E,aabc,acbaE,baacE
aacbE,a,a,c,b,E,aacb,abcaE,caabE
aabdE,a,a,b,d,E,aabd,adbaE,baadE
aadbE,a,a,d,b,E,aadb,abdaE,daabE
aadcE,a,a,d,c,E,aadc,acdaE,daacE
aacdE,a,a,c,d,E,aacd,adcaE,caadE
caabE,c,a,a,b,E,caab,cbaaE,aacbE
baacE,b,a,a,c,E,baac,bcaaE,aabcE
daabE,d,a,a,b,E,daab,dbaaE,aadbE
baadE,b,a,a,d,E,baad,bdaaE,aabdE
caadE,c,a,a,d,E,caad,cdaaE,aacdE
