id,edge-S,edge-W,edge-N,edge-E,Shape,Mirror-H,Mirror-V
aabc,a,a,b,c,1,acba,baac
aacb,a,a,c,b,1,abca,caab
aabd,a,a,b,d,1,adba,baad
aadb,a,a,d,b,1,abda,daab
aadc,a,a,d,c,1,acda,daac
aacd,a,a,c,d,1,adca,caad
caab,c,a,a,b,2,cbaa,aacb
baac,b,a,a,c,2,bcaa,aabc
daab,d,a,a,b,2,dbaa,aadb
baad,b,a,a,d,2,bdaa,aabd
caad,c,a,a,d,2,cdaa,aacd
daac,d,a,a,c,2,dcaa,aadc
bcaa,b,c,a,a,3,baac,acba
cbaa,c,b,a,a,3,caab,abca
bdaa,b,d,a,a,3,baad,adba
dbaa,d,b,a,a,3,daab,abda
dcaa,d,c,a,a,3,daac,acda
cdaa,c,d,a,a,3,caad,adca
abca,a,b,c,a,0,aacb,cbaa
acba,a,c,b,a,0,aabc,bcaa
abda,a,b,d,a,0,aadb,dbaa
adba,a,d,b,a,0,aabd,bdaa
adca,a,d,c,a,0,aacd,cdaa
acda,a,c,d,a,0,aadc,dcaa
bbcd,b,b,c,d,1,bdcb,cbbd
bbdc,b,b,d,c,1,bcdb,dbbc
bbca,b,b,c,a,1,bacb,cbba
bbac,b,b,a,c,1,bcab,abbc
bbad,b,b,a,d,1,bdab,abbd
bbda,b,b,d,a,1,badb,dbba
dbbc,d,b,b,c,2,dcbb,bbdc
cbbd,c,b,b,d,2,cdbb,bbcd
abbc,a,b,b,c,2,acbb,bbac
cbba,c,b,b,a,2,cabb,bbca
dbba,d,b,b,a,2,dabb,bbda
abbd,a,b,b,d,2,adbb,bbad
cdbb,c,d,b,b,3,cbbd,bdcb
dcbb,d,c,b,b,3,dbbc,bcdb
cabb,c,a,b,b,3,cbba,bacb
acbb,a,c,b,b,3,abbc,bcab
adbb,a,d,b,b,3,abbd,bdab
dabb,d,a,b,b,3,dbba,badb
bcdb,b,c,d,b,0,bbdc,dcbb
bdcb,b,d,c,b,0,bbcd,cdbb
bcab,b,c,a,b,0,bbac,acbb
bacb,b,a,c,b,0,bbca,cabb
badb,b,a,d,b,0,bbda,dabb
bdab,b,d,a,b,0,bbad,adbb
ccda,c,c,d,a,1,cadc,dcca
ccad,c,c,a,d,1,cdac,accd
ccdb,c,c,d,b,1,cbdc,dccb
ccbd,c,c,b,d,1,cdbc,bccd
ccba,c,c,b,a,1,cabc,bcca
ccab,c,c,a,b,1,cbac,accb
accd,a,c,c,d,2,adcc,ccad
dcca,d,c,c,a,2,dacc,ccda
bccd,b,c,c,d,2,bdcc,ccbd
dccb,d,c,c,b,2,dbcc,ccdb
accb,a,c,c,b,2,abcc,ccab
bcca,b,c,c,a,2,bacc,ccba
dacc,d,a,c,c,3,dcca,cadc
adcc,a,d,c,c,3,accd,cdac
dbcc,d,b,c,c,3,dccb,cbdc
bdcc,b,d,c,c,3,bccd,cdbc
bacc,b,a,c,c,3,bcca,cabc
abcc,a,b,c,c,3,accb,cbac
cdac,c,d,a,c,0,ccad,adcc
cadc,c,a,d,c,0,ccda,dacc
cdbc,c,d,b,c,0,ccbd,bdcc
cbdc,c,b,d,c,0,ccdb,dbcc
cbac,c,b,a,c,0,ccab,abcc
cabc,c,a,b,c,0,ccba,bacc
ddab,d,d,a,b,1,dbad,addb
ddba,d,d,b,a,1,dabd,bdda
ddac,d,d,a,c,1,dcad,addc
ddca,d,d,c,a,1,dacd,cdda
ddcb,d,d,c,b,1,dbcd,cddb
ddbc,d,d,b,c,1,dcbd,bddc
bdda,b,d,d,a,2,badd,ddba
addb,a,d,d,b,2,abdd,ddab
cdda,c,d,d,a,2,cadd,ddca
addc,a,d,d,c,2,acdd,ddac
bddc,b,d,d,c,2,bcdd,ddbc
cddb,c,d,d,b,2,cbdd,ddcb
abdd,a,b,d,d,3,addb,dbad
badd,b,a,d,d,3,bdda,dabd
acdd,a,c,d,d,3,addc,dcad
cadd,c,a,d,d,3,cdda,dacd
cbdd,c,b,d,d,3,cddb,dbcd
bcdd,b,c,d,d,3,bddc,dcbd
dabd,d,a,b,d,0,ddba,badd
dbad,d,b,a,d,0,ddab,abdd
dacd,d,a,c,d,0,ddca,cadd
dcad,d,c,a,d,0,ddac,acdd
dcbd,d,c,b,d,0,ddbc,bcdd
dbcd,d,b,c,d,0,ddcb,cbdd
