id,edgeN,edgeE,EdgeS,edgeW,shape,mirrorH,mirrorV,rotation0,rotation90,rotation180,rotation270,rotation
bcaa,b,c,a,a,1,baac,acba,bcaa,caab,aabc,abca,1
cbaa,c,b,a,a,2,caab,abca,cbaa,baac,aacb,acba,1
bdaa,b,d,a,a,3,baad,adba,bdaa,daab,aabd,abda,1
dbaa,d,b,a,a,4,daab,abda,dbaa,baad,aadb,adba,1
dcaa,d,c,a,a,5,daac,acda,dcaa,caad,aadc,adca,1
cdaa,c,d,a,a,6,caad,adca,cdaa,daac,aacd,acda,1
abca,a,b,c,a,2,aacb,cbaa,abca,bcaa,caab,aabc,2
acba,a,c,b,a,3,aabc,bcaa,acba,cbaa,baac,aacb,2
abda,a,b,d,a,4,aadb,dbaa,abda,bdaa,daab,aabd,2
adba,a,d,b,a,5,aabd,bdaa,adba,dbaa,baad,aadb,2
adca,a,d,c,a,6,aacd,cdaa,adca,dcaa,caad,aadc,2
acda,a,c,d,a,1,aadc,dcaa,acda,cdaa,daac,aacd,2
aabc,a,a,b,c,2,acba,baac,aabc,abca,bcaa,caab,3
aacb,a,a,c,b,3,abca,caab,aacb,acba,cbaa,baac,3
aabd,a,a,b,d,4,adba,baad,aabd,abda,bdaa,daab,3
aadb,a,a,d,b,5,abda,daab,aadb,adba,dbaa,baad,3
aadc,a,a,d,c,6,acda,daac,aadc,adca,dcaa,caad,3
aacd,a,a,c,d,1,adca,caad,aacd,acda,cdaa,daac,3
caab,c,a,a,b,2,cbaa,aacb,caab,aabc,abca,bcaa,0
baac,b,a,a,c,3,bcaa,aabc,baac,aacb,acba,cbaa,0
daab,d,a,a,b,4,dbaa,aadb,daab,aabd,abda,bdaa,0
baad,b,a,a,d,5,bdaa,aabd,baad,aadb,adba,dbaa,0
caad,c,a,a,d,6,cdaa,aacd,caad,aadc,adca,dcaa,0
daac,d,a,a,c,0,dcaa,aadc,daac,aacd,acda,cdaa,0
cdbb,c,d,b,b,7,cbbd,bdcb,cdbb,dbbc,bbcd,bcdb,1
dcbb,d,c,b,b,8,dbbc,bcdb,dcbb,cbbd,bbdc,bdcb,1
cabb,c,a,b,b,9,cbba,bacb,cabb,abbc,bbca,bcab,1
acbb,a,c,b,b,10,abbc,bcab,acbb,cbba,bbac,bacb,1
adbb,a,d,b,b,11,abbd,bdab,adbb,dbba,bbad,badb,1
dabb,d,a,b,b,12,dbba,badb,dabb,abbd,bbda,bdab,1
bcdb,b,c,d,b,8,bbdc,dcbb,bcdb,cdbb,dbbc,bbcd,2
bdcb,b,d,c,b,9,bbcd,cdbb,bdcb,dcbb,cbbd,bbdc,2
bcab,b,c,a,b,10,bbac,acbb,bcab,cabb,abbc,bbca,2
